"account_code","account_name","account_type","is_active","created_time","in_ebitda_mapping","ebitda_line","recommendation"
"","Carisma Spa & Wellness International Limited","bank","True","2026-04-08T12:35:14+0200","No","","Review"
"","Carisma Spa & Wellness International Limited","bank","True","2026-04-08T12:35:14+0200","No","","Review"
"","Carisma Spa & Wellness International Limited","bank","True","2026-04-08T12:35:14+0200","No","","Review"
"002","Revolut - GBP","bank","True","2025-06-27T15:30:01+0200","No","","Review"
"3051","Clearing Control Account","cash","True","2026-04-14T11:43:35+0200","No","","Review"
"2156","Money in Transit (timing difference in receipt of money)","cash","True","2023-09-15T10:30:41+0200","No","","Review"
"","Petty Cash","cash","True","2020-07-31T11:32:27+0200","No","","Review"
"","Undeposited Funds","cash","True","2020-07-31T11:32:27+0200","No","","Review"
"3903","General reserve","equity","True","2020-12-15T15:20:29+0100","No","","Archive - legacy template account"
"","Opening Balance Offset","equity","True","2020-07-31T11:32:27+0200","No","","Archive - legacy template account"
"3801","Ordinary Share Capital","equity","True","2020-12-15T15:20:29+0100","No","","Archive - legacy template account"
"","Owner's Equity","equity","True","2020-07-31T11:32:27+0200","No","","Archive - legacy template account"
"3900","Reserves","equity","True","2020-12-15T15:20:29+0100","No","","Archive - legacy template account"
"3905","Retained Earnings","equity","True","2020-07-31T11:32:27+0200","No","","Archive - legacy template account"
"3901","Revaluation Reserve","equity","True","2020-12-15T15:20:29+0100","No","","Archive - legacy template account"
"611192","Audit - Professional Services","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"","Bad Debt","expense","True","2020-07-31T11:32:27+0200","No","","Review"
"611254","Bad Debts Written Off - Provisions","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"611141","Buildings - Repairs & Maintanance","expense","True","2020-12-15T15:20:30+0100","Yes","sga","Keep - mapped, may be used in future"
"611553","Cleaning  - Ramla Bay","expense","True","2020-12-15T15:20:34+0100","Yes","sga","Keep - mapped, may be used in future"
"611222","Computers & Electronics - Depreciation","expense","True","2020-12-15T15:20:31+0100","Yes","excluded","Keep - mapped, may be used in future"
"611120","Consumables","expense","True","2020-12-15T15:20:30+0100","Yes","sga","Keep - mapped, may be used in future"
"611535","Consumables - Hugo's","expense","True","2020-12-15T15:20:33+0100","Yes","sga","Keep - mapped, may be used in future"
"611525","Consumables - Hyatt","expense","True","2020-12-15T15:20:33+0100","Yes","sga","Keep - mapped, may be used in future"
"611515","Consumables - InterContinental","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"611555","Consumables - Ramla Bay","expense","True","2020-12-15T15:20:34+0100","Yes","sga","Keep - mapped, may be used in future"
"611545","Consumables - Seashells & Qawra","expense","True","2020-12-15T15:20:34+0100","Yes","sga","Keep - mapped, may be used in future"
"611170","Discounts","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"611180","Fines","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"611223","Furniture, Fixtures & Fittings - Depreciation","expense","True","2020-12-15T15:20:31+0100","Yes","excluded","Keep - mapped, may be used in future"
"611200","General Insurance","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"616650","Insurance - General","expense","True","2020-12-15T15:20:35+0100","Yes","sga","Keep - mapped, may be used in future"
"611225","Land & Property - Depreciation","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"611160","Licenses & Permits","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"611143","Machines & Equipment - Repairs & Maintanance","expense","True","2020-12-15T15:20:30+0100","Yes","sga","Keep - mapped, may be used in future"
"611112","Marketing - Print","expense","True","2020-12-15T15:20:30+0100","Yes","advertising","Keep - mapped, may be used in future"
"611221","Motor Vechiles - Depreciation","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"611142","Motor Vechiles - Repairs & Maintanance","expense","True","2020-12-15T15:20:30+0100","Yes","sga","Keep - mapped, may be used in future"
"616660","N.I. & PAYE - General","expense","True","2020-12-15T15:20:35+0100","Yes","wages","Keep - mapped, may be used in future"
"611195","Other - Professional Services","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"","Parking","expense","True","2020-07-31T12:00:56+0200","No","","Review"
"611251","Provision for Bad and / or Doubtful Debts (Increase or Decrease) - Provisions","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"611253","Provision for Dimunition in value of Investments - Provisions","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"611252","Provision for Slow Moving or Obsolete Stock - Provisions","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"","Purchase Discounts","expense","True","2021-03-10T08:54:14+0100","No","","Review"
"619510","Rent - Equipment","expense","True","2020-12-15T15:20:36+0100","Yes","rent","Keep - mapped, may be used in future"
"619530","Rent - Flat","expense","True","2020-12-15T15:20:36+0100","Yes","rent","Keep - mapped, may be used in future"
"619500","Rent - Motor Vechile","expense","True","2020-12-15T15:20:36+0100","Yes","rent","Keep - mapped, may be used in future"
"619520","Rent - Storage","expense","True","2020-12-15T15:20:36+0100","Yes","rent","Keep - mapped, may be used in future"
"611224","Spa Facilities  - Depreciation","expense","True","2020-12-15T15:20:31+0100","Yes","sga","Keep - mapped, may be used in future"
"611537","Spa Insurance - Hugo's","expense","True","2020-12-15T15:20:33+0100","Yes","sga","Keep - mapped, may be used in future"
"611527","Spa Insurance - Hyatt","expense","True","2020-12-15T15:20:33+0100","Yes","sga","Keep - mapped, may be used in future"
"611517","Spa Insurance - InterContinental","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"611557","Spa Insurance - Ramla Bay","expense","True","2020-12-15T15:20:35+0100","Yes","sga","Keep - mapped, may be used in future"
"611547","Spa Insurance - Seashells & Qawra","expense","True","2020-12-15T15:20:34+0100","Yes","sga","Keep - mapped, may be used in future"
"","Uncategorized","expense","True","2020-07-31T11:32:27+0200","No","","Review"
"611240","Unrealised Loss or Gain on Exchange","expense","True","2020-12-15T15:20:32+0100","Yes","sga","Keep - mapped, may be used in future"
"616640","Welfare - General","expense","True","2020-12-15T15:20:35+0100","Yes","sga","Keep - mapped, may be used in future"
"1001","Accumulated amortisation of intangible assets","fixed_asset","True","2020-12-15T15:20:13+0100","No","","Archive - asset never added"
"1388","Accumulated depreciation of commercial vehicles","fixed_asset","True","2020-12-15T15:20:19+0100","No","","Archive - asset never added"
"1392","Accumulated depreciation of computer software","fixed_asset","True","2020-12-15T15:20:20+0100","No","","Archive - asset never added"
"1201","Accumulated depreciation of land and buildings","fixed_asset","True","2020-12-15T15:20:13+0100","No","","Archive - asset never added"
"1611","Accumulated depreciation of leasehold improvements","fixed_asset","True","2020-12-15T15:20:21+0100","No","","Archive - asset never added"
"1371","Accumulated depreciation of Lifts and Escalators","fixed_asset","True","2020-12-15T15:20:16+0100","No","","Archive - asset never added"
"1398","Accumulated depreciation of other machinery","fixed_asset","True","2020-12-15T15:20:20+0100","No","","Archive - asset never added"
"1396","Accumulated depreciation of other plant","fixed_asset","True","2020-12-15T15:20:20+0100","No","","Archive - asset never added"
"1601","Accumulated depreciation of other tangible assets","fixed_asset","True","2020-12-15T15:20:21+0100","No","","Archive - asset never added"
"1357","Accumulated depreciation of production machinery and equipment","fixed_asset","True","2020-12-15T15:20:15+0100","No","","Archive - asset never added"
"1359","Accumulated depreciation of tools and dies","fixed_asset","True","2020-12-15T15:20:15+0100","No","","Archive - asset never added"
"13724","Air Conditioners Hugos","fixed_asset","True","2020-12-15T15:20:17+0100","No","","Archive - asset never added"
"13723","Air Conditioners Hyatt","fixed_asset","True","2020-12-15T15:20:17+0100","No","","Archive - asset never added"
"13722","Air Conditioners Ramla","fixed_asset","True","2020-12-15T15:20:16+0100","No","","Archive - asset never added"
"1360","Catering Equip","fixed_asset","True","2020-12-15T15:20:15+0100","No","","Archive - asset never added"
"1387","Commercial vehicles","fixed_asset","True","2020-12-15T15:20:19+0100","No","","Archive - asset never added"
"13893","Computers and Electronic Equipment Hyatt","fixed_asset","True","2020-12-15T15:20:19+0100","No","","Archive - asset never added"
"13892","Computers and Electronic Equipment Ramla","fixed_asset","True","2020-12-15T15:20:19+0100","No","","Archive - asset never added"
"1361","Depcn Catering Equipment","fixed_asset","True","2020-12-15T15:20:16+0100","No","","Archive - asset never added"
"1203","Depcn Land & Improvements","fixed_asset","True","2020-12-15T15:20:14+0100","No","","Archive - asset never added"
"13763","Electrical & Plumbing Installations Hyatt","fixed_asset","True","2020-12-15T15:20:18+0100","No","","Archive - asset never added"
"13762","Electrical & Plumbing Installations Ramla","fixed_asset","True","2020-12-15T15:20:18+0100","No","","Archive - asset never added"
"13932","Furniture, Fixtures, Fittings and Soft Furnishings Qawra {Before 2020}","fixed_asset","True","2020-12-15T15:20:20+0100","No","","Archive - asset never added"
"1002","Goodwill","fixed_asset","True","2020-12-15T15:20:13+0100","No","","Archive - asset never added"
"60025","Inventory - Packaging Materials","fixed_asset","True","2024-09-04T07:43:55+0200","No","","Archive - asset never added"
"12024","Land & Improvements Hugos","fixed_asset","True","2020-12-15T15:20:13+0100","No","","Archive - asset never added"
